parameter set	memory allocation	implementation	variant	CI low	CI high	p-value
hps2048509	stack	NG21	amx	-0.00254518380597318	0.00696166926508855	0
hps2048509	stack	NG21	neon	-0.00385928355128974	0.00564755983025128	0
hps2048509	mmap	NG21	amx	-0.00489695913156504	0.00460988239879897	0
hps2048509	mmap	NG21	neon	-0.00482944515426345	0.00467739634086916	0
hps2048677	stack	NG21	amx	-0.00452134600811368	0.00498549560128914	0
hps2048677	stack	NG21	neon	-0.0056484389120232	0.00385840447325596	6.37307333194823e-94
hps2048677	stack	CCHY23	amx	-0.00508919573392777	0.00441764601543049	0
hps2048677	stack	CCHY23	tc	-0.00422599556012836	0.00528084658241729	2.28171786292598e-294
hps2048677	stack	CCHY23	tmvp	-0.00422966403182653	0.00527717810155388	0
hps2048677	mmap	NG21	amx	-0.00374904134698393	0.00575780253199764	0
hps2048677	mmap	NG21	neon	-0.00501909181212897	0.0044877498370182	6.74498342556247e-96
hps2048677	mmap	CCHY23	amx	-0.00582222818673148	0.00368461600969893	0
hps2048677	mmap	CCHY23	tc	-0.00473436173414951	0.0047724797481097	7.92663959696879e-308
hps2048677	mmap	CCHY23	tmvp	-0.00485335077141221	0.00465349073371758	0
hps4096821	stack	NG21	amx	-0.00588075331679993	0.00362609118510705	0
hps4096821	stack	NG21	neon	-0.0107597851102319	-0.00125285785675548	1.24712729919873e-118
hps4096821	mmap	NG21	amx	-0.00570785221769288	0.00379899142874365	0
hps4096821	mmap	NG21	neon	-0.00217310945458033	0.00733374785109917	3.48232133091178e-163
hrss701	stack	NG21	amx	-0.00431516655946526	0.00519167537841944	0
hrss701	stack	NG21	neon	-0.0123701811565399	-0.00286320173395834	1.06652678164603e-09
hrss701	stack	CCHY23	amx	-0.00582540777182763	0.00368143644078047	0
hrss701	stack	CCHY23	tmvp	-0.00750876086743681	0.00199809865762345	0
hrss701	mmap	NG21	amx	-0.00509984368809351	0.00440699807852925	0
hrss701	mmap	NG21	neon	-0.0072626643522868	0.00224419209354269	5.55477327112746e-92
hrss701	mmap	CCHY23	amx	-0.0034877475908645	0.00601909769787388	0
hrss701	mmap	CCHY23	tmvp	-0.00692081700653494	0.00258603563968087	0
